retriever,qtype,source,n,recall_at_k,mrr,rouge_l_f1,bertscore_f1,abstention_rate,passage_overlap
none,all,all,300,0,0.0,0.16444543775635292,0.03652494185681765,0.02,0.0
dense,all,all,300,0.9066666666666666,0.8322222222222222,0.34141381770006474,0.20836640430633754,0.016666666666666666,0.8934218826775452
bm25,all,all,300,0.8466666666666667,0.7483333333333333,0.29399962854814987,0.1542767937182604,0.11,0.8519009919823046
entity,all,all,300,0.91,0.8188888888888889,0.3351860002501497,0.20266591791335184,0.03333333333333333,0.8831603435900625
none,causes,all,16,0,0.0,0.2191964296712839,0.1373648639419116,0,0.0
none,considerations,all,8,0,0.0,0.1523408095061865,-0.01242202939465642,0,0.0
none,exams and tests,all,16,0,0.0,0.14764970303305736,-0.01458362425910309,0,0.0
none,frequency,all,16,0,0.0,0.20751480127852545,0.2813842464238405,0.375,0.0
none,genetic changes,all,18,0,0.0,0.17673542926454802,0.04183692164305183,0,0.0
none,information,all,78,0,0.0,0.18076395308380191,0.12385421802695745,0,0.0
none,inheritance,all,28,0,0.0,0.19786616140006474,0.1918342879840306,0,0.0
none,outlook,all,5,0,0.0,0.1424835767765386,0.055823533423244955,0,0.0
none,prevention,all,1,0,0.0,0.1869158878504673,0.06776048243045807,0,0.0
none,research,all,5,0,0.0,0.1513269720154897,0.017109566554427146,0,0.0
none,stages,all,2,0,0.0,0.12516661459960432,-0.026791750453412533,0,0.0
none,susceptibility,all,2,0,0.0,0.11365740740740742,-0.015850614523515105,0,0.0
none,symptoms,all,60,0,0.0,0.13519741497145984,-0.14268738143146037,0,0.0
none,treatment,all,45,0,0.0,0.13019088325595712,-0.06623868913803664,0,0.0
none,all,CancerGov,14,0,0.0,0.15868807723367093,0.012856356666556426,0,0.0
none,all,GARD,115,0,0.0,0.17144187744949158,0.006654993177432081,0,0.0
none,all,GHR,89,0,0.0,0.1659281326063113,0.08423448276570004,0.06741573033707865,0.0
none,all,MPlusHealthTopics,7,0,0.0,0.17724692569834466,0.20395607820578984,0,0.0
none,all,NHLBI,17,0,0.0,0.15651332238180743,0.019584513146101552,0,0.0
none,all,NIDDK,25,0,0.0,0.14529580299688416,-0.015386955719441176,0,0.0
none,all,NIHSeniorHealth,12,0,0.0,0.147019279380493,-0.012458316050469875,0,0.0
none,all,NINDS,21,0,0.0,0.15859510233876614,0.06137356175375836,0,0.0
dense,causes,all,16,1,0.96875,0.4557415100117243,0.4149948174599558,0,0.9328939222726623
dense,considerations,all,8,1,0.875,0.21559441250341388,0.03978788701351732,0,0.8174937443916552
dense,exams and tests,all,16,1,0.9375,0.23725398195048927,0.10846564004896209,0,0.8533025928708728
dense,frequency,all,16,1,0.9270833333333334,0.3622722720906751,0.32441793772159144,0.0625,0.7955328452150545
dense,genetic changes,all,18,0.7777777777777778,0.6944444444444444,0.25211578438234883,0.0682478609895851,0.05555555555555555,0.8495778188786568
dense,information,all,78,0.9102564102564102,0.7884615384615384,0.47191643838629826,0.39701515886908734,0,0.9516677123571246
dense,inheritance,all,28,1,0.9285714285714286,0.28405475085306175,0.20662315828459604,0,0.8521190691526687
dense,outlook,all,5,0.6,0.6,0.42629608101241495,0.29414768517017365,0,0.8258397932816538
dense,prevention,all,1,1,1.0,0.2878787878787879,0.4189189672470093,0,0.8181818181818182
dense,research,all,5,0.8,0.8,0.21503243340191094,0.08444773610681296,0.4,0.7630769230769231
dense,stages,all,2,1,0.75,0.28491911818457133,0.11350572109222412,0,0.8148148148148148
dense,susceptibility,all,2,1,1.0,0.1591523611897126,0.09196460945531726,0,0.8495475113122172
dense,symptoms,all,60,0.9833333333333333,0.9444444444444444,0.334156237131671,0.08277579013083596,0.016666666666666666,0.9211780337629767
dense,treatment,all,45,0.7111111111111111,0.6481481481481481,0.22404373114771933,0.06566860906572805,0,0.8763323725430948
dense,all,CancerGov,14,1,0.9285714285714286,0.30403526258220204,0.18938613224392092,0.07142857142857142,0.8620090371482879
dense,all,GARD,115,0.9826086956521739,0.9405797101449276,0.42656862147933294,0.2809570971198137,0,0.927751185485774
dense,all,GHR,89,0.8539325842696629,0.7471910112359551,0.28723362694674187,0.16339724778140152,0.02247191011235955,0.8557767716243225
dense,all,MPlusHealthTopics,7,0.8571428571428571,0.8571428571428571,0.36151322246983153,0.3123322078026831,0,0.950245353081157
dense,all,NHLBI,17,0.9411764705882353,0.8725490196078431,0.28915324756796823,0.17357962427879958,0,0.8984168207738145
dense,all,NIDDK,25,0.92,0.7933333333333333,0.22307462394992458,0.036788514032959935,0,0.8814025881145522
dense,all,NIHSeniorHealth,12,0.75,0.6666666666666666,0.24400845750040293,0.10035727258461218,0,0.9069606479631638
dense,all,NINDS,21,0.7142857142857143,0.6349206349206349,0.36177631003752553,0.27356738237930195,0.09523809523809523,0.8695011130768627
bm25,causes,all,16,0.875,0.84375,0.40993424457930755,0.31983729312196374,0.0625,0.85386361773014
bm25,considerations,all,8,0.75,0.625,0.20263971760429694,0.1023581246699905,0.125,0.7938490084491406
bm25,exams and tests,all,16,0.8125,0.6875,0.21825102735575458,0.08974300457339268,0,0.8715504844082387
bm25,frequency,all,16,0.9375,0.8020833333333334,0.21046472105961483,0.10486535262316465,0.5,0.6337456829649982
bm25,genetic changes,all,18,1,0.7962962962962963,0.3730848572183354,0.19895828385940856,0.05555555555555555,0.8815181823879534
bm25,information,all,78,0.8076923076923077,0.7029914529914529,0.39207190856557017,0.30133397567969483,0.038461538461538464,0.9241132921504872
bm25,inheritance,all,28,0.9642857142857143,0.9107142857142857,0.23913185207105325,0.11344663376387741,0.03571428571428571,0.840925585337389
bm25,outlook,all,5,0.6,0.5,0.36920966252180054,0.21045620888471603,0,0.8229955987165289
bm25,prevention,all,1,1,1.0,0.319298245614035,0.2534756362438202,0,0.9396551724137931
bm25,research,all,5,0.4,0.3,0.13010011360804666,-0.08123502433300019,0.4,0.7452756892230576
bm25,stages,all,2,1,1.0,0.10776565456660243,-0.04754089657217264,0,0.8914141414141414
bm25,susceptibility,all,2,1,1.0,0.34684624017957355,0.19264420121908188,0,0.9208630952380952
bm25,symptoms,all,60,0.8666666666666667,0.8,0.2968203443811079,0.07980015873132894,0.05,0.8791089712080733
bm25,treatment,all,45,0.8,0.6777777777777778,0.16962780446754797,0.02207644584381746,0.28888888888888886,0.7739280921639016
bm25,all,CancerGov,14,0.8571428571428571,0.8214285714285714,0.197346787922871,0.04411732126027346,0.07142857142857142,0.8819173429499648
bm25,all,GARD,115,0.8869565217391304,0.8130434782608695,0.36505221009715416,0.2233268355221852,0.05217391304347826,0.8948910977682221
bm25,all,GHR,89,0.9550561797752809,0.8333333333333334,0.2694235117147959,0.12262012776552458,0.1797752808988764,0.8070788697715314
bm25,all,MPlusHealthTopics,7,0.7142857142857143,0.5476190476190477,0.4372881560461654,0.38941605841474874,0,0.9412810051194843
bm25,all,NHLBI,17,0.7647058823529411,0.6764705882352942,0.20902147190940454,0.05780945510110434,0,0.8623915217353691
bm25,all,NIDDK,25,0.68,0.54,0.19237254312476923,0.0388458527578041,0.16,0.8144909981614579
bm25,all,NIHSeniorHealth,12,0.8333333333333334,0.7083333333333334,0.1483451179753718,-0.012330677670737108,0,0.8406553939944403
bm25,all,NINDS,21,0.47619047619047616,0.38095238095238093,0.2987380819584991,0.21608413472062066,0.2857142857142857,0.7991045977653639
entity,causes,all,16,0.9375,0.8645833333333334,0.43495718701295133,0.36447385093197227,0,0.9175888922816502
entity,considerations,all,8,1,0.8125,0.27614368242562143,0.12410760228522122,0,0.8333420653188058
entity,exams and tests,all,16,1,0.90625,0.2884550468574337,0.14511648402549326,0,0.8166275860494958
entity,frequency,all,16,0.875,0.7708333333333334,0.31254774991942186,0.277633968857117,0.125,0.7809475508112781
entity,genetic changes,all,18,0.8888888888888888,0.8333333333333334,0.27544234782257015,0.11474693276815945,0,0.8530072196848595
entity,information,all,78,0.8846153846153846,0.7606837606837606,0.46194442750662207,0.3912532628657153,0,0.9492291440619581
entity,inheritance,all,28,1,0.9583333333333334,0.2719675565719832,0.18063074070960283,0.03571428571428571,0.848450095616146
entity,outlook,all,5,0.6,0.5,0.12197500710351446,-0.014925399422645569,0,0.7791720404874768
entity,prevention,all,1,1,1.0,0.2625482625482625,-0.011648694053292274,1,0.7323943661971831
entity,research,all,5,0.8,0.7,0.18328204452859423,0.11197756119072437,0.2,0.7849069374997587
entity,stages,all,2,1,0.6666666666666666,0.35708673761425075,0.13358244858682156,0,0.9508692365835223
entity,susceptibility,all,2,1,1.0,0.15468585994901785,0.07431004149839282,0,0.8630769230769231
entity,symptoms,all,60,0.9833333333333333,0.9388888888888889,0.35285250580290367,0.11107969690153065,0,0.9167274029949362
entity,treatment,all,45,0.8,0.6814814814814815,0.20406761379233695,0.044806372275989916,0.1111111111111111,0.8378624547694842
entity,all,CancerGov,14,1,0.9047619047619048,0.3323822802219625,0.17814698043678487,0,0.8641657977025007
entity,all,GARD,115,0.9826086956521739,0.9304347826086956,0.42482692204797784,0.2882146503260035,0.008695652173913044,0.9163826515536333
entity,all,GHR,89,0.9101123595505618,0.8033707865168539,0.280290501237502,0.15883556479232364,0.056179775280898875,0.8433434601132487
entity,all,MPlusHealthTopics,7,0.7142857142857143,0.6190476190476191,0.3303345303977828,0.31746475238885197,0,0.9500197142134053
entity,all,NHLBI,17,0.9411764705882353,0.8235294117647058,0.2754836017110314,0.13504047280944445,0,0.8935477298636305
entity,all,NIDDK,25,0.84,0.72,0.2396229385863683,0.05114064875990152,0.04,0.8836296120502044
entity,all,NIHSeniorHealth,12,0.8333333333333334,0.6527777777777778,0.24039304862268823,0.12459574732929468,0,0.8843547985951068
entity,all,NINDS,21,0.6190476190476191,0.49206349206349204,0.29669735791803986,0.1777648144024646,0.14285714285714285,0.8507029399459438
